ipv6_prefix,region
2600:1900:8000::/44,africa-south1
2600:1900:4030::/44,asia-east1
2600:1900:41a0::/44,asia-east2
2600:1900:4050::/44,asia-northeast1
2600:1900:41d0::/44,asia-northeast2
2600:1901:8180::/44,asia-northeast3
2600:1900:40a0::/44,asia-south1
2600:1900:41b0::/44,asia-south2
2600:1900:4080::/44,asia-southeast1
2600:1901:8170::/44,asia-southeast2
2600:1900:42e0::/44,asia-southeast3
2600:1900:40b0::/44,australia-southeast1
2600:1900:41c0::/44,australia-southeast2
2600:1900:4140::/44,europe-central2
2600:1900:4150::/44,europe-north1
2600:1900:42a0::/44,europe-north2
2600:1901:8100::/44,europe-southwest1
2600:1900:4010::/44,europe-west1
2600:1901:81f0::/44,europe-west10
2600:1901:81b0::/44,europe-west12
2600:1900:42c0::/44,europe-west15
2600:1900:40c0::/44,europe-west2
2600:1900:40d0::/44,europe-west3
2600:1900:4060::/44,europe-west4
2600:1900:4160::/44,europe-west6
2600:1901:8110::/44,europe-west8
2600:1901:8120::/44,europe-west9
2600:1901::/48,global
2600:1901:81c0::/44,me-central1
2600:1900:5400::/44,me-central2
2600:1901:8160::/44,me-west1
2600:1900:40e0::/44,northamerica-northeast1
2600:1900:41e0::/44,northamerica-northeast2
2600:1900:4290::/44,northamerica-south1
2600:1900:40f0::/44,southamerica-east1
2600:1901:4010::/44,southamerica-west1
2600:1900:4000::/44,us-central1
2600:1900:4070::/44,us-central2
2600:1900:4020::/44,us-east1
2600:1900:4090::/44,us-east4
2600:1901:8130::/44,us-east5
2600:1901:8150::/44,us-east7
2600:1901:8140::/44,us-south1
2600:1900:4040::/44,us-west1
2600:1900:4120::/44,us-west2
2600:1900:4170::/44,us-west3
2600:1900:4180::/44,us-west4
2600:1900:4280::/44,us-west8
