Binary,Link
AddinUtil.exe,https://lolbas-project.github.io/lolbas/Binaries/Addinutil/
AppInstaller.exe,https://lolbas-project.github.io/lolbas/Binaries/AppInstaller/
Aspnet_Compiler.exe,https://lolbas-project.github.io/lolbas/Binaries/Aspnet_Compiler/
At.exe,https://lolbas-project.github.io/lolbas/Binaries/At/
Atbroker.exe,https://lolbas-project.github.io/lolbas/Binaries/Atbroker/
Bash.exe,https://lolbas-project.github.io/lolbas/Binaries/Bash/
Bitsadmin.exe,https://lolbas-project.github.io/lolbas/Binaries/Bitsadmin/
CertOC.exe,https://lolbas-project.github.io/lolbas/Binaries/Certoc/
CertReq.exe,https://lolbas-project.github.io/lolbas/Binaries/Certreq/
Certutil.exe,https://lolbas-project.github.io/lolbas/Binaries/Certutil/
Change.exe,https://lolbas-project.github.io/lolbas/Binaries/Change/
Cipher.exe,https://lolbas-project.github.io/lolbas/Binaries/Cipher/
Cmd.exe,https://lolbas-project.github.io/lolbas/Binaries/Cmd/
Cmdkey.exe,https://lolbas-project.github.io/lolbas/Binaries/Cmdkey/
cmdl32.exe,https://lolbas-project.github.io/lolbas/Binaries/Cmdl32/
Cmstp.exe,https://lolbas-project.github.io/lolbas/Binaries/Cmstp/
Colorcpl.exe,https://lolbas-project.github.io/lolbas/Binaries/Colorcpl/
ComputerDefaults.exe,https://lolbas-project.github.io/lolbas/Binaries/ComputerDefaults/
ConfigSecurityPolicy.exe,https://lolbas-project.github.io/lolbas/Binaries/ConfigSecurityPolicy/
Conhost.exe,https://lolbas-project.github.io/lolbas/Binaries/Conhost/
Control.exe,https://lolbas-project.github.io/lolbas/Binaries/Control/
Csc.exe,https://lolbas-project.github.io/lolbas/Binaries/Csc/
Cscript.exe,https://lolbas-project.github.io/lolbas/Binaries/Cscript/
CustomShellHost.exe,https://lolbas-project.github.io/lolbas/Binaries/CustomShellHost/
DataSvcUtil.exe,https://lolbas-project.github.io/lolbas/Binaries/DataSvcUtil/
Desktopimgdownldr.exe,https://lolbas-project.github.io/lolbas/Binaries/Desktopimgdownldr/
DeviceCredentialDeployment.exe,https://lolbas-project.github.io/lolbas/Binaries/DeviceCredentialDeployment/
Dfsvc.exe,https://lolbas-project.github.io/lolbas/Binaries/Dfsvc/
Diantz.exe,https://lolbas-project.github.io/lolbas/Binaries/Diantz/
Diskshadow.exe,https://lolbas-project.github.io/lolbas/Binaries/Diskshadow/
Dnscmd.exe,https://lolbas-project.github.io/lolbas/Binaries/Dnscmd/
Esentutl.exe,https://lolbas-project.github.io/lolbas/Binaries/Esentutl/
Eudcedit.exe,https://lolbas-project.github.io/lolbas/Binaries/Eudcedit/
Eventvwr.exe,https://lolbas-project.github.io/lolbas/Binaries/Eventvwr/
Expand.exe,https://lolbas-project.github.io/lolbas/Binaries/Expand/
Explorer.exe,https://lolbas-project.github.io/lolbas/Binaries/Explorer/
Extexport.exe,https://lolbas-project.github.io/lolbas/Binaries/Extexport/
Extrac32.exe,https://lolbas-project.github.io/lolbas/Binaries/Extrac32/
Findstr.exe,https://lolbas-project.github.io/lolbas/Binaries/Findstr/
Finger.exe,https://lolbas-project.github.io/lolbas/Binaries/Finger/
fltMC.exe,https://lolbas-project.github.io/lolbas/Binaries/FltMC/
Forfiles.exe,https://lolbas-project.github.io/lolbas/Binaries/Forfiles/
Fsutil.exe,https://lolbas-project.github.io/lolbas/Binaries/Fsutil/
Ftp.exe,https://lolbas-project.github.io/lolbas/Binaries/Ftp/
Gpscript.exe,https://lolbas-project.github.io/lolbas/Binaries/Gpscript/
Hh.exe,https://lolbas-project.github.io/lolbas/Binaries/Hh/
IMEWDBLD.exe,https://lolbas-project.github.io/lolbas/Binaries/IMEWDBLD/
Ie4uinit.exe,https://lolbas-project.github.io/lolbas/Binaries/Ie4uinit/
iediagcmd.exe,https://lolbas-project.github.io/lolbas/Binaries/Iediagcmd/
Ieexec.exe,https://lolbas-project.github.io/lolbas/Binaries/Ieexec/
Ilasm.exe,https://lolbas-project.github.io/lolbas/Binaries/Ilasm/
Infdefaultinstall.exe,https://lolbas-project.github.io/lolbas/Binaries/Infdefaultinstall/
Installutil.exe,https://lolbas-project.github.io/lolbas/Binaries/Installutil/
iscsicpl.exe,https://lolbas-project.github.io/lolbas/Binaries/Iscsicpl/
Jsc.exe,https://lolbas-project.github.io/lolbas/Binaries/Jsc/
Ldifde.exe,https://lolbas-project.github.io/lolbas/Binaries/Ldifde/
Makecab.exe,https://lolbas-project.github.io/lolbas/Binaries/Makecab/
Mavinject.exe,https://lolbas-project.github.io/lolbas/Binaries/Mavinject/
Microsoft.Workflow.Compiler.exe,https://lolbas-project.github.io/lolbas/Binaries/Microsoft.Workflow.Compiler/
Mmc.exe,https://lolbas-project.github.io/lolbas/Binaries/Mmc/
MpCmdRun.exe,https://lolbas-project.github.io/lolbas/Binaries/MpCmdRun/
Msbuild.exe,https://lolbas-project.github.io/lolbas/Binaries/Msbuild/
Msconfig.exe,https://lolbas-project.github.io/lolbas/Binaries/Msconfig/
Msdt.exe,https://lolbas-project.github.io/lolbas/Binaries/Msdt/
Msedge.exe,https://lolbas-project.github.io/lolbas/Binaries/Msedge/
Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
Msiexec.exe,https://lolbas-project.github.io/lolbas/Binaries/Msiexec/
Netsh.exe,https://lolbas-project.github.io/lolbas/Binaries/Netsh/
Ngen.exe,https://lolbas-project.github.io/lolbas/Binaries/Ngen/
Odbcconf.exe,https://lolbas-project.github.io/lolbas/Binaries/Odbcconf/
OfflineScannerShell.exe,https://lolbas-project.github.io/lolbas/Binaries/OfflineScannerShell/
OneDriveStandaloneUpdater.exe,https://lolbas-project.github.io/lolbas/Binaries/OneDriveStandaloneUpdater/
Pcalua.exe,https://lolbas-project.github.io/lolbas/Binaries/Pcalua/
Pcwrun.exe,https://lolbas-project.github.io/lolbas/Binaries/Pcwrun/
Pktmon.exe,https://lolbas-project.github.io/lolbas/Binaries/Pktmon/
Pnputil.exe,https://lolbas-project.github.io/lolbas/Binaries/Pnputil/
Presentationhost.exe,https://lolbas-project.github.io/lolbas/Binaries/Presentationhost/
Print.exe,https://lolbas-project.github.io/lolbas/Binaries/Print/
PrintBrm.exe,https://lolbas-project.github.io/lolbas/Binaries/PrintBrm/
Provlaunch.exe,https://lolbas-project.github.io/lolbas/Binaries/Provlaunch/
Psr.exe,https://lolbas-project.github.io/lolbas/Binaries/Psr/
Query.exe,https://lolbas-project.github.io/lolbas/Binaries/Query/
Rasautou.exe,https://lolbas-project.github.io/lolbas/Binaries/Rasautou/
rdrleakdiag.exe,https://lolbas-project.github.io/lolbas/Binaries/Rdrleakdiag/
Reg.exe,https://lolbas-project.github.io/lolbas/Binaries/Reg/
Regasm.exe,https://lolbas-project.github.io/lolbas/Binaries/Regasm/
Regedit.exe,https://lolbas-project.github.io/lolbas/Binaries/Regedit/
Regini.exe,https://lolbas-project.github.io/lolbas/Binaries/Regini/
Register-cimprovider.exe,https://lolbas-project.github.io/lolbas/Binaries/Register-cimprovider/
Regsvcs.exe,https://lolbas-project.github.io/lolbas/Binaries/Regsvcs/
Regsvr32.exe,https://lolbas-project.github.io/lolbas/Binaries/Regsvr32/
Replace.exe,https://lolbas-project.github.io/lolbas/Binaries/Replace/
Reset.exe,https://lolbas-project.github.io/lolbas/Binaries/Reset/
Rpcping.exe,https://lolbas-project.github.io/lolbas/Binaries/Rpcping/
Rundll32.exe,https://lolbas-project.github.io/lolbas/Binaries/Rundll32/
Runexehelper.exe,https://lolbas-project.github.io/lolbas/Binaries/Runexehelper/
Runonce.exe,https://lolbas-project.github.io/lolbas/Binaries/Runonce/
Runscripthelper.exe,https://lolbas-project.github.io/lolbas/Binaries/Runscripthelper/
